ticker,quarterly_dividend,years_of_payment,years_of_growth
AFL,0.48,41,41
ADM,0.45,28,28
ADP,1.40,49,49
AOS,0.31,30,30
APD,1.77,42,42
BDX,0.91,52,52
BEN,0.31,43,43
BRO,0.13,30,30
CB,0.86,30,30
CHD,0.28,28,28
CLX,1.20,46,46
CME,1.20,14,14
COST,1.02,20,20
CTAS,1.35,40,40
CVX,1.63,37,37
ED,0.81,49,49
ESS,2.31,29,29
EXPD,0.14,29,29
FRT,1.09,56,56
GWW,1.86,52,52
KMB,1.21,51,51
LIN,1.30,29,29
MCD,1.67,47,47
MDT,0.69,46,46
MKC,0.39,37,37
NEE,0.47,30,30
NUE,0.51,50,50
PEP,1.36,52,52
ROP,0.75,30,30
SHW,0.61,45,45
SPGI,0.91,51,51
SYY,0.50,54,54
TROW,1.24,37,37
VFC,0.51,50,50
WBA,0.48,47,47
WMT,0.57,51,51
XOM,0.95,42,42
